datetime_utc_from;consumption_MWh;spot_ch_eurpmwh;temperature_celsius;global_radiation_J
2023-01-14T06:00Z;41.795281;157.800000;2.700000;0.000000
2023-01-14T07:00Z;43.012285;155.740000;2.300000;0.000000
2023-01-14T08:00Z;44.091564;161.070000;2.400000;63557.600000
2023-01-14T09:00Z;43.831086;162.250000;2.600000;315360.000000
2023-01-14T10:00Z;42.308939;161.100000;3.900000;329712.000000
2023-01-14T11:00Z;39.449395;161.130000;4.700000;357732.000000
2023-01-14T12:00Z;39.494981;155.890000;5.400000;445770.000000
2023-01-14T13:00Z;38.241916;153.950000;6.000000;370578.000000
2023-01-14T14:00Z;38.547021;155.890000;6.200000;307074.000000
2023-01-14T15:00Z;39.080091;163.830000;6.300000;146784.900000
2023-01-14T16:00Z;40.572899;170.250000;5.800000;32501.200000
2023-01-14T17:00Z;40.203091;170.530000;5.700000;0.000000
2023-01-14T18:00Z;39.866091;182.360000;5.600000;0.000000
2023-01-14T19:00Z;38.560578;179.890000;5.600000;0.000000
2023-01-14T20:00Z;37.459949;179.050000;5.900000;0.000000
2023-01-14T21:00Z;36.818621;161.010000;6.000000;0.000000
2023-01-14T22:00Z;35.535100;161.020000;6.300000;0.000000
2023-01-14T23:00Z;36.054209;153.310000;6.200000;0.000000
2023-01-15T00:00Z;35.878905;154.980000;6.500000;0.000000
2023-01-15T01:00Z;35.996599;148.750000;6.800000;0.000000
2023-01-15T02:00Z;35.573192;141.010000;7.000000;0.000000
2023-01-15T03:00Z;35.031431;139.610000;6.600000;0.000000
2023-01-15T04:00Z;35.031268;140.250000;9.100000;0.000000
2023-01-15T05:00Z;34.587979;135.010000;12.000000;0.000000
2023-01-15T06:00Z;35.958117;144.770000;11.100000;0.000000
2023-01-15T07:00Z;36.764946;154.650000;11.200000;0.000000
2023-01-15T08:00Z;37.191294;155.820000;10.000000;49556.400000
2023-01-15T09:00Z;36.589831;164.600000;7.000000;347832.000000
2023-01-15T10:00Z;37.806908;157.770000;7.700000;422058.000000
2023-01-15T11:00Z;37.837459;151.030000;5.800000;339516.000000
2023-01-15T12:00Z;38.829996;150.140000;5.800000;255726.000000
2023-01-15T13:00Z;38.156316;143.910000;5.600000;220092.000000
2023-01-15T14:00Z;37.838771;147.490000;5.700000;203766.000000
2023-01-15T15:00Z;37.343346;156.160000;5.500000;160488.000000
2023-01-15T16:00Z;38.138712;164.000000;4.800000;69138.300000
2023-01-15T17:00Z;38.507219;180.550000;3.900000;0.000000
2023-01-15T18:00Z;38.740891;182.080000;2.900000;0.000000
2023-01-15T19:00Z;37.834033;182.340000;2.100000;0.000000
2023-01-15T20:00Z;37.960652;180.760000;1.500000;0.000000
2023-01-15T21:00Z;38.028886;171.390000;0.700000;0.000000
2023-01-15T22:00Z;37.464870;164.620000;0.200000;0.000000
2023-01-15T23:00Z;38.332444;150.160000;-0.100000;0.000000
2023-01-16T00:00Z;38.235719;78.340000;-0.300000;0.000000
2023-01-16T01:00Z;38.173435;83.010000;-0.400000;0.000000
2023-01-16T02:00Z;38.655300;83.820000;-0.900000;0.000000
2023-01-16T03:00Z;38.608513;77.690000;-1.300000;0.000000
2023-01-16T04:00Z;39.803140;83.810000;-1.800000;0.000000
2023-01-16T05:00Z;46.216572;130.290000;-1.500000;0.000000
2023-01-16T06:00Z;56.974247;153.970000;-1.800000;0.000000
2023-01-16T07:00Z;69.681425;174.270000;-2.200000;0.000000
2023-01-16T08:00Z;73.880005;187.130000;-1.800000;24177.000000
2023-01-16T09:00Z;73.085290;185.330000;-1.300000;116130.000000
2023-01-16T10:00Z;75.096798;181.880000;-0.100000;221382.000000
2023-01-16T11:00Z;73.453304;177.410000;1.100000;288282.000000
2023-01-16T12:00Z;67.055631;172.650000;1.500000;288696.000000
2023-01-16T13:00Z;67.318801;172.940000;3.500000;706518.000000
2023-01-16T14:00Z;69.235999;172.520000;6.400000;760902.000000
2023-01-16T15:00Z;68.129629;178.920000;6.600000;526188.000000
2023-01-16T16:00Z;64.831470;181.630000;4.900000;130300.500000
2023-01-16T17:00Z;59.378312;187.980000;3.600000;0.000000
2023-01-16T18:00Z;54.577937;187.960000;2.800000;0.000000
2023-01-16T19:00Z;51.733293;185.340000;2.200000;0.000000
2023-01-16T20:00Z;49.122405;176.620000;2.400000;0.000000
2023-01-16T21:00Z;47.462277;161.900000;2.000000;0.000000
2023-01-16T22:00Z;44.966779;155.700000;2.000000;0.000000
2023-01-16T23:00Z;43.736563;151.560000;1.700000;0.000000
2023-01-17T00:00Z;43.638832;152.380000;0.900000;0.000000
2023-01-17T01:00Z;43.102422;146.560000;0.800000;0.000000
2023-01-17T02:00Z;43.711292;142.710000;0.500000;0.000000
2023-01-17T03:00Z;43.926954;135.300000;0.000000;0.000000
2023-01-17T04:00Z;44.582306;135.050000;-0.700000;0.000000
2023-01-17T05:00Z;49.719203;151.370000;-1.000000;0.000000
2023-01-17T06:00Z;60.624229;159.780000;-1.300000;0.000000
2023-01-17T07:00Z;72.026383;194.280000;-1.600000;0.000000
2023-01-17T08:00Z;75.448317;204.290000;-1.300000;41616.900000
2023-01-17T09:00Z;73.414861;203.740000;-0.700000;116178.000000
2023-01-17T10:00Z;75.545470;201.810000;-0.300000;156348.000000
2023-01-17T11:00Z;73.416190;200.940000;0.400000;245898.000000
2023-01-17T12:00Z;66.821990;187.030000;0.800000;251016.000000
2023-01-17T13:00Z;72.259965;182.900000;1.100000;253998.000000
2023-01-17T14:00Z;72.448778;180.570000;1.300000;262530.000000
2023-01-17T15:00Z;71.607912;183.250000;1.200000;209502.000000
2023-01-17T16:00Z;67.622255;186.310000;0.600000;50503.200000
2023-01-17T17:00Z;61.067584;198.390000;0.200000;1977.600000
2023-01-17T18:00Z;55.752257;198.980000;-0.200000;0.000000
2023-01-17T19:00Z;52.663368;193.930000;-0.700000;0.000000
2023-01-17T20:00Z;50.645483;184.360000;-1.200000;0.000000
2023-01-17T21:00Z;48.909384;167.110000;-1.700000;0.000000
2023-01-17T22:00Z;46.225640;155.640000;-1.900000;0.000000
2023-01-17T23:00Z;45.394149;147.660000;-1.900000;0.000000
2023-01-18T00:00Z;44.729610;148.310000;-1.900000;0.000000
